business_id,yelp_category,reviews,name,state,stars
jWv5GUtEp30OD5L5C8c2DQ,American (Traditional),1121,Mr. Mamas,NV,4.5
7sb2FYLS2sejZKxRYF9mtg,Japanese,1443,Sakana,NV,4.5
q-zZgXKAQFLEgMp9ZNllgQ,Japanese,1033,Umiya Sushi,NV,4
NvKNe9DnQavC9GstglcBJQ,American (New),2218,Grand Lux Cafe,NV,4
u-SJ5QUwrNquL9VnXwl8cg,Bars,1124,Postino Arcadia,AZ,4.5
4GXII-GU7S0ZyU6ElkhscQ,American (New),1171,Hooters Casino Hotel,NV,2.5
g8OnV26ywJlZpezdBnOWUQ,American (New),2835,Hash House A Go Go,NV,4
7sPNbCx7vGAaH7SbNPZ6oA,Asian Fusion,2735,Bachi Burger,NV,4
A5Rkh7UymKm0_Rxm9K2PJw,American (New),1049,Yard House Town Square,NV,4
LNGBEEelQx4zbfWnlc66cw,Buffets,1824,Studio B Buffet,NV,4
DkYS3arLOhA8si5uUEmHOw,Caterers,4655,Earl of Sandwich,NV,4.5
ujHiaprwCQ5ewziu0Vi9rw,American (New),3481,The Buffet at Bellagio,NV,3.5
YJ8ljUhLsz6CtT_2ORNFmg,Bars,2111,Gordon Ramsay Pub & Grill,NV,3.5
fQt4D34vcJNtEf8Q4zte3w,Asian Fusion,1228,TAO Asian Bistro,NV,3.5
ZkGDCVKSdf8m76cnnalL-A,Breakfast & Brunch,1864,Le Village Buffet,NV,3.5
JLbgvGM4FXh9zNP4O5ZWjQ,American (New),1249,Meat & Potatoes,PA,4
iCQpiavjjPzJ5_3gPD5Ebg,Pizza,3258,Secret Pizza,NV,4
HhVmDybpU7L50Kb5A0jXTg,Other,2067,Guy Fieri's Vegas Kitchen & Bar,NV,3.5
OVTZNSkSfbl3gVB9XQIJfw,American (New),1118,Cravings Buffet,NV,3
PXShA3JZMXr2mEH3on5clw,American (Traditional),1404,Egg Works,NV,4.5
0NmTwqYEQiKErDv4a55obg,Italian,1028,Scarpetta,NV,4
fL-b760btOaGa85OJ9ut3w,Barbeque,1996,Rollin Smoke Barbeque,NV,4.5
d_L-rfS1vT3JMzgCUGtiow,Breakfast & Brunch,1247,Border Grill,NV,4
LR0qF0FEVsCOhYWUOiH26A,Buffets,1651,The Buffet at ARIA,NV,3
L2p0vO3fsS2LC6hhQo3CzA,Breakfast & Brunch,1264,Matt's Big Breakfast,AZ,4
pSQFynH1VxkfSmehRXlZWw,Italian,1735,Pizzeria Bianco,AZ,4
eLFfWcdb7VkqNyTONksHiQ,Barbeque,1619,Gen Korean BBQ House,NV,4.5
JDZ6_yycNQFTpUZzLIKHUg,Bars,2316,El Dorado Cantina,NV,4.5
YhCAJ8acd1X7GkCHPhD8Xw,Burgers,1055,BLT Burger,NV,3.5
