date,American New,American Traditional,Asian Fusion,Bakeries,Barbeque,Bars,Breakfast & Brunch,Buffets,Burgers,Cafes,Caterers,Chinese,Italian,Japanese,Mexican,Other,Pizza
258,69,133,8,31,0,15,48,3,2,7,18,13,0,5,0,64,3
263,191,216,7,84,1,24,132,21,2,14,23,19,7,7,2,134,7
267,329,440,15,191,0,28,218,52,1,24,26,22,4,3,9,177,6
271,474,645,16,150,20,57,370,116,12,21,68,36,9,11,23,159,15
275,827,673,128,133,70,154,485,152,64,21,135,49,14,156,59,405,63
279,1147,548,303,122,112,243,640,184,141,18,150,89,40,382,85,742,124
283,1090,367,292,72,104,226,498,174,170,22,141,88,27,390,87,693,109
288,832,205,226,50,84,253,404,176,128,23,117,54,18,286,67,517,77
292,596,112,200,57,74,192,265,128,93,23,95,48,6,275,58,435,71
296,574,76,222,55,48,185,268,99,79,25,68,31,11,268,48,460,90
300,658,125,199,61,66,297,383,132,95,21,69,33,25,398,59,634,82
304,947,190,406,77,106,412,586,169,110,18,68,69,56,594,62,999,135
308,1165,246,455,81,109,595,659,219,150,18,82,80,85,720,93,1252,153
313,1158,209,447,84,81,533,661,159,154,21,97,75,81,701,59,1173,153
317,967,214,304,57,30,420,389,80,126,18,69,83,86,574,69,949,167
321,703,110,216,54,21,323,196,22,129,27,75,73,48,395,62,564,123
325,397,86,143,37,15,254,69,13,77,6,49,101,20,250,60,314,118
329,183,83,74,25,0,191,33,9,34,6,58,97,12,166,60,225,88
333,126,66,28,5,3,127,19,4,13,1,43,54,1,91,38,136,82
338,68,35,10,4,1,61,11,2,2,0,33,69,1,45,25,67,69
342,27,21,1,1,1,30,6,2,1,1,18,68,2,8,7,23,55
346,17,28,2,3,0,28,7,2,2,0,21,50,0,2,2,28,18
350,19,19,5,3,0,8,3,3,0,1,9,15,1,2,0,20,6
354,26,42,4,8,0,10,6,4,1,4,6,11,1,2,0,46,2
358,60,109,3,30,0,19,41,7,2,3,14,7,1,3,0,60,5
363,151,253,8,44,3,25,117,16,1,12,26,18,3,4,1,98,6
367,305,434,11,148,1,30,199,69,4,15,41,24,7,7,4,137,13
371,444,510,11,137,15,48,319,78,5,23,45,33,14,12,24,166,9
375,771,575,150,102,67,108,409,118,79,20,87,43,14,144,44,426,48
379,983,518,307,106,128,224,484,168,143,19,122,85,27,393,74,676,116
383,1005,342,338,58,93,239,448,168,143,17,127,69,32,377,87,699,126
388,736,185,246,54,85,227,412,164,108,19,94,45,16,328,65,532,86
392,536,82,200,43,55,179,283,123,77,21,73,55,9,257,61,434,84
396,571,63,180,54,56,191,245,99,82,27,56,32,8,270,46,443,83
400,687,101,250,48,68,273,351,107,78,18,55,64,28,406,55,770,79
404,982,187,341,67,105,398,562,178,108,20,62,80,63,570,68,1049,151
408,1187,204,452,96,120,577,712,204,134,18,87,110,100,710,71,1313,204
413,1154,191,428,83,75,545,621,162,153,19,83,96,91,723,50,1252,162
417,923,181,324,73,39,441,400,92,125,37,97,91,70,577,71,978,150
421,623,110,221,39,31,289,171,31,111,27,70,88,56,405,57,570,106
425,446,91,139,29,12,202,67,7,90,7,72,76,21,220,69,312,137
429,235,72,99,13,3,158,36,14,58,7,96,76,5,184,90,216,125
433,136,54,56,6,2,114,20,7,15,4,85,63,2,121,49,126,101
438,88,52,12,2,1,65,17,3,3,1,53,76,3,66,41,82,74
442,56,36,3,2,1,37,5,1,3,1,50,78,0,20,10,38,43
446,28,33,1,3,0,32,1,1,0,0,29,56,1,4,6,26,20
450,19,18,0,1,0,14,5,1,1,0,12,26,1,2,1,19,5
454,28,48,1,20,0,7,8,1,2,4,7,13,2,2,3,39,0
458,66,129,5,37,0,16,45,12,3,7,16,11,2,2,2,69,1
463,173,266,8,71,1,36,90,31,3,13,32,14,3,3,2,122,11
467,365,456,7,193,7,31,223,63,6,20,42,18,9,10,3,151,8
471,552,571,11,189,11,46,317,73,8,20,68,38,11,20,11,187,8
475,895,646,124,122,71,130,462,136,78,30,118,66,18,154,50,460,63
479,1143,573,301,126,121,243,589,189,132,14,147,82,18,368,73,733,97
483,1102,380,334,69,103,263,500,176,141,15,148,70,37,419,84,766,139
488,881,223,282,48,102,252,385,178,146,19,146,56,17,339,82,577,115
492,687,99,232,65,77,201,308,99,127,20,126,51,13,264,60,532,88
496,617,107,199,41,55,202,279,125,105,25,103,34,8,279,51,476,91
500,782,104,239,60,89,265,472,151,96,26,78,50,43,411,54,649,108
504,1069,145,383,89,125,438,666,189,129,21,92,70,65,581,77,1092,145
508,1345,249,550,87,114,592,800,209,155,26,113,110,102,714,90,1451,186
513,1364,259,500,102,98,620,698,197,173,22,122,81,124,736,78,1370,181
517,1150,188,392,116,34,548,549,84,165,27,115,114,82,708,73,1265,182
521,919,165,292,62,23,510,257,45,158,30,111,90,60,474,85,972,162
525,505,143,225,50,12,424,101,14,111,17,114,97,25,268,63,774,164
529,305,104,124,25,3,360,36,3,41,1,152,114,6,191,106,561,167
533,154,115,58,10,3,254,29,2,13,4,158,97,2,144,85,319,138
538,130,73,16,2,0,187,10,3,6,1,135,99,0,68,49,187,131
542,106,54,6,3,0,106,9,0,0,3,148,96,2,17,18,97,106
546,69,38,6,3,1,56,4,1,4,1,98,83,0,7,4,52,32
550,37,21,2,5,1,25,5,1,1,1,35,40,1,0,1,28,8
554,38,49,3,9,0,19,11,2,1,2,14,13,1,4,1,40,0
558,71,141,7,47,2,15,55,11,6,12,12,8,1,6,3,69,8
563,256,378,12,103,1,28,146,47,1,10,39,14,5,4,2,146,3
567,457,620,18,242,6,48,298,74,8,23,80,29,9,4,8,198,7
571,779,810,18,260,8,74,563,127,13,17,117,39,13,9,25,218,12
575,1289,922,226,204,85,179,795,195,102,34,203,82,31,193,89,613,95
579,1821,791,446,173,128,324,881,281,223,33,295,129,53,496,112,1069,197
583,1742,583,465,146,144,414,875,283,218,28,292,123,31,545,123,1144,177
588,1445,326,405,67,116,361,696,272,204,41,278,94,30,427,99,975,165
592,1101,143,327,76,101,386,476,251,164,35,262,60,19,349,89,744,148
596,1023,126,247,54,82,294,432,246,156,38,203,55,9,352,76,699,150
600,1229,159,369,64,110,417,616,224,159,27,239,64,45,542,79,1024,194
604,1515,236,506,132,160,635,947,283,172,28,260,84,103,809,105,1583,226
608,1829,299,723,127,207,885,1101,355,223,32,290,151,177,959,105,1942,280
613,1802,326,730,136,194,992,1036,321,251,37,315,116,139,995,113,2023,320
617,1627,330,615,140,122,893,731,177,206,32,230,145,145,835,123,1841,312
621,1285,236,440,105,103,806,416,83,206,19,183,118,103,659,124,1504,268
625,990,200,342,80,65,713,145,23,167,21,168,134,44,473,102,1186,269
629,586,156,192,51,12,551,83,11,136,16,205,137,13,428,125,858,310
633,483,153,105,29,4,394,40,9,101,3,323,134,2,248,166,571,322
638,313,160,30,13,2,267,15,9,62,0,389,176,2,94,178,375,365
642,243,110,9,7,2,195,13,5,26,1,401,222,2,36,182,170,340
646,172,80,9,0,2,119,7,2,9,0,323,183,1,6,68,106,227
650,102,64,3,4,1,63,12,1,4,0,164,78,0,2,23,55,62
654,67,51,1,3,0,40,11,1,1,1,47,27,1,3,1,53,9
658,112,211,4,36,2,41,58,4,3,9,33,32,4,6,3,91,6
663,333,500,10,131,1,58,165,38,8,10,55,39,7,8,7,188,13
667,750,960,14,224,0,68,503,89,7,19,127,65,16,5,15,277,21
671,1261,1330,36,354,23,168,994,173,19,37,232,96,20,9,37,380,16
675,2044,1564,301,412,87,326,1583,328,193,46,383,157,34,188,90,673,128
679,2904,1491,581,454,176,565,2046,446,306,47,560,234,80,615,138,1074,244
683,2987,1121,720,405,208,673,2090,513,358,55,610,274,63,718,218,1240,300
688,2630,623,666,217,218,631,1680,465,316,54,527,198,38,661,192,1140,304
692,2008,301,507,147,140,588,1152,375,293,78,433,164,23,536,155,1056,301
696,1624,193,431,122,140,477,1016,345,260,54,367,113,24,510,128,880,330
700,1842,258,491,140,143,631,1293,351,245,53,352,103,87,625,109,1475,319
704,2125,346,637,183,215,833,1675,435,221,47,293,109,187,833,112,2161,376
708,2366,410,821,240,192,1136,1700,459,259,19,341,108,220,1028,136,2372,400
713,2279,413,836,210,210,1126,1520,359,203,41,261,149,197,916,141,2457,383
717,1948,373,683,197,137,992,1042,214,260,39,214,127,190,808,103,2210,344
721,1523,276,521,128,90,991,560,99,196,38,160,101,175,650,110,1736,305
725,1084,193,362,92,54,900,231,35,193,33,130,126,74,421,112,1259,262
729,634,172,201,73,26,624,99,13,180,22,190,151,13,323,120,905,337
733,418,189,103,28,11,440,37,13,101,5,239,182,7,219,137,592,363
738,320,165,30,16,3,250,21,2,51,3,311,244,7,116,170,306,371
742,203,149,8,3,0,168,27,2,22,0,336,269,1,39,168,173,315
746,213,111,9,5,0,117,18,4,6,1,255,228,0,6,110,105,220
750,121,79,4,5,0,76,12,4,3,0,124,125,1,2,29,67,61
754,68,56,3,13,1,34,8,3,2,1,64,36,0,1,5,61,9
758,105,166,6,39,0,44,58,4,3,8,31,38,0,3,1,112,2
763,281,428,11,135,0,53,197,36,1,19,80,45,5,8,1,183,9
767,638,880,16,259,1,78,466,114,5,33,118,71,18,7,23,241,22
771,1214,1307,22,385,4,161,979,239,13,36,212,144,29,14,62,311,38
775,2247,1564,250,450,10,353,1852,487,196,49,393,296,59,275,99,654,148
779,3073,1736,549,493,30,592,2416,736,338,55,541,389,72,718,180,938,270
783,2902,1386,661,390,53,628,2203,777,282,53,505,321,60,797,159,973,285
788,2266,749,460,218,47,522,1578,532,295,70,358,266,33,615,177,961,254
792,1569,287,424,124,24,445,944,408,205,59,308,147,16,519,132,768,249
796,1258,163,369,108,36,364,719,305,183,45,204,96,19,453,119,736,222
