id,name,address,yelp_category,main_category,sub_category,categories,reviews,price,stars,state
_kdpjoGrIzA64E6aXHA66w,Barcelona Tapas,10690 Southern Highlands Pkwy,Tapas Bars,Tapas Bars,Spanish,"['Tapas Bars', 'Spanish', 'Restaurants']",335,2,4,NV
_mg5bYknpZgaWSfjQVmrJQ,Spinato's Pizzeria,5509 N 7th St,Italian,Italian,Restaurants,"['Italian', 'Restaurants', 'Pizza']",221,2,4,AZ
_MVSmAYSl4RkgXBg5e8JaQ,Original Pancake House,6840 E Camelback Rd,Breakfast & Brunch,Breakfast & Brunch,Restaurants,"['Breakfast & Brunch', 'Restaurants', 'Food', 'Waffles', 'Coffee & Tea']",225,2,3.5,AZ
_QvGAqMmrUIlxpby2Ul5Dg,Dona Maria Tamales Restaurant,3205 N Tenaya Way,Mexican,Mexican,Restaurants,"['Mexican', 'Restaurants']",205,2,3.5,NV
_R1jBQQieKpNGMBqmrLRyA,NOLA,24 Market Sq,Cajun/Creole,Restaurants,Cajun/Creole,"['Restaurants', 'Cajun/Creole']",382,2,3.5,PA
_sh6mIBWZis66mAjkjN8Qg,Rachel's Kitchen,9691 Trailwood Dr,American (Traditional),American (Traditional),Breakfast & Brunch,"['American (Traditional)', 'Breakfast & Brunch', 'Juice Bars & Smoothies', 'Sandwiches', 'Food', 'American (New)', 'Restaurants']",209,2,3.5,NV
_V0yJdpXrbdKzBDoVSJGWA,Silver Sevens Hotel and Casino,4100 Paradise Rd,Hotels & Travel,Hotels & Travel,Do-It-Yourself Food,"['Hotels & Travel', 'Do-It-Yourself Food', 'Event Planning & Services', 'Hotels', 'Restaurants', 'Food', 'Casinos', 'American (Traditional)', 'Arts & Entertainment']",249,2,2.5,NV
_-W_hRQRDEqVdO1WKGa-DQ,Max's Allegheny Tavern,537 Suismon St,Nightlife,Nightlife,Breakfast & Brunch,"['Nightlife', 'Breakfast & Brunch', 'German', 'Pubs', 'Bars', 'Restaurants']",176,2,4,PA
_w5hBpkjHs5_Hv3pLeHtIw,Julian Serrano,3730 Las Vegas Blvd S,Tapas Bars,Restaurants,Tapas Bars,"['Restaurants', 'Tapas Bars', 'Spanish']",1429,3,4,NV
_y1Et7f4NE6D1P1GzphlIw,Blaze Fast-Fire'd Pizza,6211 N Decatur Blvd,Salad,Salad,Pizza,"['Salad', 'Pizza', 'Restaurants', 'Fast Food', 'Gluten-Free']",259,1,4.5,NV
0_aeYE2-VbsZts_UpILgDw,Lazy Dog Restaurant & Bar,"1725 Festival Plz Dr, Ste A2",Food,Food,Beer,"['Food', 'Beer', 'Wine & Spirits', 'Restaurants', 'Pizza', 'American (New)']",669,2,4,NV
01Ov9eDxKRY5k6ImMdiWLQ,Hong Kong Garden Seafood & BBQ Cafe,3407 S Jones Blvd,Seafood,Restaurants,Seafood,"['Restaurants', 'Seafood', 'Barbeque', 'Chinese']",137,2,3,NV
04kZ5CSh6oKhI5huU5bLdg,Sharp Edge,922 Penn Ave,Food,Restaurants,Food,"['Restaurants', 'Food', 'Bars', 'Belgian', 'Nightlife', 'American (New)', 'Pubs']",227,2,3.5,PA
07AZL5XenCQ_-op_onKLdw,BLT Steak,3645 Las Vegas Blvd S,American (Traditional),American (Traditional),Steakhouses,"['American (Traditional)', 'Steakhouses', 'Restaurants']",359,3,4,NV
0859wfd1BQHG46Zpwhc0ZQ,Oven + Vine,14 W Vernon Ave,American (New),American (New),Restaurants,"['American (New)', 'Restaurants', 'Wine Bars', 'Bars', 'Pizza', 'Nightlife']",167,2,4.5,AZ
0ahghcpWQVkm4lEFwx-peA,Habib's Persian Cuisine,2575 S Decatur Blvd,Middle Eastern,Middle Eastern,Persian/Iranian,"['Middle Eastern', 'Persian/Iranian', 'Restaurants']",123,2,3.5,NV
0CB7YB1qRSWLQvMbHw3Fmw,Easy Life Boba Tea,"8560 W Desert Inn Rd, Ste D2",Bubble Tea,Restaurants,Bubble Tea,"['Restaurants', 'Bubble Tea', 'Coffee & Tea', 'Taiwanese', 'Food', 'Juice Bars & Smoothies', 'Desserts']",290,1,4,NV
0d0i0FaJq1GIeW1rS2D-5w,Bruxie,"3782 S Las Vegas Blvd, South Tenant Block, Bldg D1",Breakfast & Brunch,Breakfast & Brunch,Food,"['Breakfast & Brunch', 'Food', 'Sandwiches', 'Restaurants', 'Waffles', 'Desserts']",440,2,4.5,NV
0ebavvJVXAzKKQ8C9cOt6g,Chopstick Express,"939 E Guadalupe Rd, Ste 1",Chinese,Chinese,Restaurants,"['Chinese', 'Restaurants']",124,1,3,AZ
0EgYXYjt2XJL4hlsKnzrcw,PublicUs,1126 Fremont St,Cafes,Cafes,American (New),"['Cafes', 'American (New)', 'Restaurants', 'Food', 'Coffee & Tea']",441,2,4.5,NV
0G1y7uV7w1D2uziS4Lt_Dw,Chapalas Mexican Restaurants,3331 E Tropicana Ave,Mexican,Restaurants,Mexican,"['Restaurants', 'Mexican']",124,2,3.5,NV
0GS6_96ld7mdEfgKhoDliA,Angry Ale's,1518 Montford Dr,Pubs,Pubs,Restaurants,"['Pubs', 'Restaurants', 'Bars', 'Pool Halls', 'American (Traditional)', 'Sports Bars', 'Nightlife']",123,2,3,NC
0H9bomdciJmcqfojkxLnsA,Tokyo Joe's,"Val Vista & Baseline Rd, 1935 S Val Vista Dr",Asian Fusion,Asian Fusion,Restaurants,"['Asian Fusion', 'Restaurants', 'Sushi Bars', 'Japanese']",123,1,3.5,AZ
0Hcks5q-DgJbDlmEWolx4A,Bonefish Grill,8701 W Charleston Blvd,Seafood,Restaurants,Seafood,"['Restaurants', 'Seafood', 'American (New)']",184,2,3.5,NV
0InA3Ffj8MxyQV9hgsyYcQ,Novecento Pizzeria,"5705 Centennial Center Blvd, Ste 170",Specialty Food,Restaurants,Specialty Food,"['Restaurants', 'Specialty Food', 'Food', 'Italian', 'Salad', 'Pizza']",306,2,4,NV
0jtRI7hVMpQHpUVtUy4ITw,Omelet House Summerlin,2227 N Rampart Blvd,Italian,Italian,Breakfast & Brunch,"['Italian', 'Breakfast & Brunch', 'Restaurants', 'Beer', 'Wine & Spirits', 'American (Traditional)', 'Food']",176,2,4,NV
0ldxjei8v4q95fApIei3Lg,Lucille's Smokehouse Bar-B-Que,"The District At Green Valley Ranch, 2245 Village Walk Dr",Cajun/Creole,Cajun/Creole,Barbeque,"['Cajun/Creole', 'Barbeque', 'Smokehouse', 'Food', 'Restaurants']",728,2,4,NV
0NmTwqYEQiKErDv4a55obg,Scarpetta,"Cosmopolitan Hotel, 3708 Las Vegas Blvd S",Italian,Restaurants,Italian,"['Restaurants', 'Italian']",1028,3,4,NV
0OdZXIKQypu6vplpxFilsA,Kneaders Bakery & Cafe,7100 W Craig Rd,Food,Food,Restaurants,"['Food', 'Restaurants', 'Bakeries', 'Desserts', 'Sandwiches']",117,1,3.5,NV
0PCBt3JKD6IooicImKNBzA,Nicky's Thai Kitchen,903 Penn Ave,Seafood,Seafood,Thai,"['Seafood', 'Thai', 'Vegan', 'Restaurants']",375,2,4,PA
0PVxodALQu-soL5J8bjerQ,Ritters Diner,5221 Baum Blvd,Breakfast & Brunch,Breakfast & Brunch,Diners,"['Breakfast & Brunch', 'Diners', 'American (Traditional)', 'Restaurants']",163,1,3.5,PA
0q_BHpxbikVtPRRLRu-U0g,Picasso,3600 S Las Vegas Blvd,Bars,Bars,French,"['Bars', 'French', 'Restaurants', 'Spanish', 'Nightlife']",711,4,4.5,NV
0QBFtNNj9RIggZGeivcbEg,Plaza Bonita,2815 W Carefree Hwy,Mexican,Mexican,Restaurants,"['Mexican', 'Restaurants']",128,2,4,AZ
0QSnurP5Ibor2zepJmEIlw,Tacos La Mexicana,"3555 S Durango Dr, Ste B101",Mexican,Mexican,Restaurants,"['Mexican', 'Restaurants', 'Food Delivery Services', 'Food']",115,1,4,NV
0XEqyl_lVaJNHRKxNcjJZg,Coffee Pub,"2800 W Sahara Ave, Ste 2A",Sandwiches,Sandwiches,Breakfast & Brunch,"['Sandwiches', 'Breakfast & Brunch', 'Restaurants', 'Food', 'Coffee & Tea']",310,1,4.5,NV
0xvdC8F0HmFpAFkJk6nXLg,Yojié Japanese Fondue,"9440 W Sahara Ave, Ste 175",Food,Food,Japanese,"['Food', 'Japanese', 'Restaurants', 'Asian Fusion', 'Fondue', 'Hot Pot', 'Specialty Food']",257,2,4.5,NV
0zoXYHq82haayMaV952jEQ,Greens and Proteins,9809 W Flamingo Rd,Sandwiches,Sandwiches,Juice Bars & Smoothies,"['Sandwiches', 'Juice Bars & Smoothies', 'Food', 'Burgers', 'Restaurants', 'Pizza', 'American (New)']",309,2,4,NV
1_jvFRQjcRVfd9LdOLvI8A,Rí Rá Irish Pub,208 N Tryon St,Bars,Restaurants,Bars,"['Restaurants', 'Bars', 'Irish', 'Pubs', 'Nightlife']",238,2,3.5,NC
10NSeX03xC2th8-HGFq3sw,Chaya Japanese Cuisine,2032 Murray Ave,Japanese,Restaurants,Japanese,"['Restaurants', 'Japanese', 'Sushi Bars', 'Soup']",183,2,4,PA
10tJuB_YkVQWuk4PtoI7iA,Intermezzo Pizzeria and Cafe,1427 E 10th St,Pizza,Pizza,Restaurants,"['Pizza', 'Restaurants', 'Cafes']",218,2,4,NC
110iMPMPEEjFlf8HKVq84g,131 Main,9886 Rea Rd,American (New),American (New),Restaurants,"['American (New)', 'Restaurants']",217,2,4,NC
15YuEFO59yXd7BTO5NZgYw,Vito's Pizza & Italian Ristorante,1947 N Lindsay Rd,Italian,Italian,Pizza,"['Italian', 'Pizza', 'Restaurants']",173,2,4,AZ
16Fplxu-OwVmTEFxQAUP4g,TENDER Steak & Seafood,3900 Las Vegas Blvd S,Steakhouses,Restaurants,Steakhouses,"['Restaurants', 'Steakhouses', 'Bars', 'American (Traditional)', 'Nightlife']",364,3,3.5,NV
16tWXenJ1wTqugXJU7yiZg,808 Sushi,7435 S Durango Dr,Sushi Bars,Sushi Bars,Restaurants,"['Sushi Bars', 'Restaurants', 'Food', 'Desserts']",408,2,3.5,NV
19S0gFtg5GTX6CkiApJiAQ,Frijoles & Frescas Grilled Tacos,7000 W Charleston Blvd,Mexican,Mexican,Restaurants,"['Mexican', 'Restaurants', 'Caterers', 'Event Planning & Services']",384,1,4.5,NV
1bXC3NewRsBL1gecvGXA-g,Jackalope Jacks,1936 E 7th St,Sports Bars,Sports Bars,American (Traditional),"['Sports Bars', 'American (Traditional)', 'Restaurants', 'Breakfast & Brunch', 'Nightlife', 'Bars']",153,2,3.5,NC
1CR2ddUcjYYwRd5JLtiRrw,Hard Rock Cafe,3771 Las Vegas Boulevard South,American (New),American (New),Burgers,"['American (New)', 'Burgers', 'Breakfast & Brunch', 'American (Traditional)', 'Music Venues', 'Arts & Entertainment', 'Nightlife', 'Restaurants']",453,2,3.5,NV
1dhPgc7E7IzzpxjHM2LphQ,Mad Mex - Oakland,370 Atwood St,Tex-Mex,Tex-Mex,Restaurants,"['Tex-Mex', 'Restaurants', 'Mexican']",228,2,3.5,PA
1DP5vHxJzCDbgawv0WC3yA,Rose. Rabbit. Lie,"The Cosmopolitan Of Las Vegas, 3708 Las Vegas Blvd S",Diners,Diners,Performing Arts,"['Diners', 'Performing Arts', 'Arts & Entertainment', 'Restaurants', 'Bars', 'American (New)', 'Nightlife']",604,4,4,NV
1dYpffQi3qdh-dkXF4LZBw,Burgatory,299 W Bridge St,Burgers,Burgers,Restaurants,"['Burgers', 'Restaurants']",215,2,4,PA
1FlIbmN4aNJuXsGK0shnfQ,Leroy Fox,705 S Sharon Amity Rd,American (New),American (New),Soul Food,"['American (New)', 'Soul Food', 'Restaurants', 'Sandwiches', 'Southern']",220,2,3.5,NC
1gQrMs-I8oKg2p-iRxznzQ,Soho Chicken + Whiskey,1889 W 25th St,Southern,Southern,Breakfast & Brunch,"['Southern', 'Breakfast & Brunch', 'Restaurants', 'Bars', 'Nightlife']",228,2,4,OH
1HfkEkNhI6XJXkgrCTBKpw,The Urban Tap,1209 E Carson St,Pubs,Pubs,Nightlife,"['Pubs', 'Nightlife', 'Bars', 'American (Traditional)', 'Restaurants', 'Gastropubs', 'Sports Bars']",192,2,4,PA
1KhBzrqmU164bss64jR5uA,Rick's Rollin Smoke BBQ & Tavern,"Pawn Plz, 725 Las Vegas Blvd S,Ste 110",Barbeque,Restaurants,Barbeque,"['Restaurants', 'Barbeque', 'Beer Bar', 'Nightlife', 'Bars', 'Sandwiches']",156,2,4.5,NV
1M6tA3TqxcpptHW0_hP9Kw,Brillobox,4104 Penn Ave,Arts & Entertainment,Arts & Entertainment,Nightlife,"['Arts & Entertainment', 'Nightlife', 'Bars', 'Music Venues', 'Vegetarian', 'Restaurants', 'Vegan']",133,2,3.5,PA
1Os0g2rh6I50ZIXEZSaNkA,DLUX,117 Martin Luther King Jr Blvd,Cocktail Bars,Cocktail Bars,Burgers,"['Cocktail Bars', 'Burgers', 'Restaurants', 'American (New)', 'Bars', 'Nightlife', 'Breakfast & Brunch']",324,2,4,WI
1QJFpZxLbHbXSKohWp9uIA,Red White & Brew,"6740 E McDowell Rd, Ste 102",American (Traditional),Restaurants,American (Traditional),"['Restaurants', 'American (Traditional)']",273,2,4,AZ
1qwkbN3wu3AGDxMTXVz2gA,Topgolf,9500 Talking Stick Way,Event Planning & Services,Event Planning & Services,Restaurants,"['Event Planning & Services', 'Restaurants', 'Party & Event Planning', 'Sports Bars', 'Golf', 'Active Life', 'American (New)', 'Nightlife', 'Bars']",576,2,4,AZ
1RECFIhw6tdiP4l3smu6Kw,The Yard,100 5th Ave,Bars,Bars,Nightlife,"['Bars', 'Nightlife', 'American (New)', 'Gastropubs', 'Restaurants']",136,2,3.5,PA
1SCETxRnwaYo2aBC3fi4SA,PDQ Las Vegas: Sahara,3010 W Sahara Ave,Chicken Shop,Chicken Shop,Sandwiches,"['Chicken Shop', 'Sandwiches', 'Restaurants', 'Chicken Wings', 'Salad']",161,1,4.5,NV
1SE9f6TEV5XhnTuuK01xwA,Wingstop,3910 S Maryland Pkwy,Food,Restaurants,Food,"['Restaurants', 'Food', 'Chicken Wings', 'Fast Food']",121,2,3,NV
-1VaIJza42Hjev6ukacCNg,Rio Mirage Cafe Y Cantina,12245 W Santa Fe Dr,Tex-Mex,Restaurants,Tex-Mex,"['Restaurants', 'Tex-Mex', 'Mexican']",142,2,4,AZ
1VDP92FU2p8AqJw9vU11sw,Lakeside Bar & Grill,"Lake Pleasant Towne Center, 9980 W Happy Valley Rd",Burgers,Restaurants,Burgers,"['Restaurants', 'Burgers', 'Italian', 'American (New)']",135,2,3.5,AZ
1Vvxx-9AoINg8TJXOZgEHg,YOLOS,3667 Las Vegas Blvd S,Mexican,Mexican,American (New),"['Mexican', 'American (New)', 'Restaurants']",399,2,3.5,NV
1WBVqmo7tgF0z0eGf4fPhQ,Pasta Idea,"7668 W Lake Mead Blvd, Unit 107",Italian,Restaurants,Italian,"['Restaurants', 'Italian']",224,2,4.5,NV
1Z5S_Lkcl6vA3ZvrAG91TA,Sofrito Rico Authentic Puerto Rican Cuisine,"5201 W Charleston Blvd, Ste 110",Farmers Market,Farmers Market,Caribbean,"['Farmers Market', 'Caribbean', 'Food', 'Restaurants', 'Latin American', 'Puerto Rican']",156,2,4.5,NV
1ZJz840L496LAmQdeDv0WA,Pinches Tacos,"Shipping Container Park, 707 Fremont St",Mexican,Restaurants,Mexican,"['Restaurants', 'Mexican']",344,1,4,NV
1ZnVfS-qP19upP_fwOhZsA,Big Wong Restaurant,5040 Spring Mountain Rd,Taiwanese,Restaurants,Taiwanese,"['Restaurants', 'Taiwanese', 'Malaysian', 'Soup', 'Chinese', 'Asian Fusion', 'Noodles']",687,1,4,NV
228mfqUuGbnCs1kiupJXZw,Map of Thailand,"3710 Payne Ave, Ste 106",Thai,Thai,Restaurants,"['Thai', 'Restaurants']",130,2,4.5,OH
25wTaO0_Rk-GLb4k2uMs0Q,AquaKnox,3355 S Las Vegas Blvd,Bakeries,Bakeries,Seafood,"['Bakeries', 'Seafood', 'Restaurants', 'Food']",394,4,4,NV
296PZdxSrtH08EUwCsOKMw,Michael's Gourmet Room,"South Point Hotel & Casino, 9777 S Las Vegas Blvd",American (Traditional),American (Traditional),Seafood,"['American (Traditional)', 'Seafood', 'Steakhouses', 'Restaurants']",115,4,4.5,NV
2B46bRpDh49eDyjXGhL_ZQ,La Maison de Maggie,"3455 S Durango Dr, Ste 112",French,French,Gluten-Free,"['French', 'Gluten-Free', 'Restaurants', 'Creperies', 'Cafes']",207,1,5,NV
2bK1ng2mnRdtTh_BDNGmIg,North End Pizza,6440 N Durango Dr,Italian,Italian,Pizza,"['Italian', 'Pizza', 'Restaurants']",274,2,3,NV
2bTfMJCido0G8U0tk8hDkg,FlatIron Kitchen & Taphouse,215 S Main St,Steakhouses,Steakhouses,Restaurants,"['Steakhouses', 'Restaurants', 'American (New)']",119,2,3.5,NC
2dCnTMv3Hh-fM8bOjYS4Xw,Nevada Chicken Cafe,"6155 W Sahara Ave, Ste 1&3",American (New),American (New),Cafes,"['American (New)', 'Cafes', 'American (Traditional)', 'Salad', 'Food', 'Restaurants', 'Barbeque', 'Sandwiches']",267,2,3.5,NV
2hSIeCX2cV-chFcBBXrZZA,Pressed For Juice,"6145 S Fort Apache Rd, Ste 506",Juice Bars & Smoothies,Juice Bars & Smoothies,Food,"['Juice Bars & Smoothies', 'Food', 'Coffee & Tea', 'Restaurants', 'Organic Stores', 'Gluten-Free']",128,2,4.5,NV
2HxaDXZmAOH6LiuzGgNdPA,Farmer Boys,7010 S. Rainbow Blvd,Burgers,Burgers,Sandwiches,"['Burgers', 'Sandwiches', 'Restaurants', 'Breakfast & Brunch']",120,1,3,NV
2I_qSTehoUFsDNjaqCVxlA,Cafe Moda,3400 S Jones Blvd,Event Planning & Services,Event Planning & Services,Dance Clubs,"['Event Planning & Services', 'Dance Clubs', 'Restaurants', 'Venues & Event Spaces', 'Nightlife', 'Filipino', 'Karaoke']",121,2,3,NV
2iTsRqUsPGRH1li1WVRvKQ,Carson Kitchen,"124 S 6th St, Ste 100",Burgers,Burgers,American (New),"['Burgers', 'American (New)', 'Restaurants', 'Vegan', 'Comfort Food', 'Tapas/Small Plates', 'Salad', 'Gastropubs', 'Seafood']",1225,2,4.5,NV
2IvrdAb6zdxr3ZqplqJHbg,Jose Cuervo Tequileria,5757 Wayne Newton Blvd,Mexican,Mexican,Restaurants,"['Mexican', 'Restaurants']",401,2,2,NV
2lF1UsGcDpDpaI1lXgRX_g,Abuelo's,3440 W Chandler Blvd,Mexican,Mexican,Restaurants,"['Mexican', 'Restaurants', 'Tex-Mex']",302,2,3.5,AZ
2NiBvT5zL272IRcxru_x9A,La Bocca Wine Bar & Urban Kitchen,"5415 E High St, Ste 127",Mediterranean,Mediterranean,Nightlife,"['Mediterranean', 'Nightlife', 'Wine Bars', 'Italian', 'Bars', 'Restaurants']",183,2,4,AZ
2qjvYspb3bEmCaw1vmSk0g,Sushi Muramoto,546 N Midvale Blvd,Sushi Bars,Sushi Bars,Restaurants,"['Sushi Bars', 'Restaurants']",206,2,4,WI
2S6p5ICNswz_EdgcZk76qQ,Duckworth's Grill & Taphouse,4435 Park Rd,American (Traditional),American (Traditional),American (New),"['American (Traditional)', 'American (New)', 'Restaurants', 'Nightlife', 'Food', 'Bars', 'Beer Bar', 'Beer', 'Wine & Spirits']",242,2,4,NC
2SfSzEd3B7WimeZac23zhg,Leoné Café,"400 S Rampart Blvd, Ste 165",Food,Food,Breakfast & Brunch,"['Food', 'Breakfast & Brunch', 'Cafes', 'Italian', 'Coffee & Tea', 'Restaurants']",425,2,4,NV
2sx52lDoiEtef7xgPCaoBw,VegeNation,"616 Carson Ave, Ste 120",Wine Bars,Restaurants,Wine Bars,"['Restaurants', 'Wine Bars', 'Vegetarian', 'Live/Raw Food', 'Nightlife', 'Vegan', 'Bars']",641,2,4.5,NV
2um9bzTSvD3f2tkdBoA38g,Kid Cashew,1608 East Blvd,Tapas/Small Plates,Tapas/Small Plates,Barbeque,"['Tapas/Small Plates', 'Barbeque', 'Mediterranean', 'Restaurants', 'American (New)']",163,2,4,NC
2uRM8Et0uJVl8u1jSnmuKw,Takeda Thai,10271 N Scottsdale Rd,Thai,Restaurants,Thai,"['Restaurants', 'Thai']",141,2,4,AZ
2weQS-RnoOBhb1KsHKyoSQ,The Buffet,"Wynn Las Vegas, 3131 Las Vegas Blvd S",Buffets,Buffets,Restaurants,"['Buffets', 'Restaurants']",3676,3,3.5,NV
2XkVexeY_8zyc9nriSElQg,Taco Tijuana,2554 E Tropicana Ave,Mexican,Mexican,Restaurants,"['Mexican', 'Restaurants', 'Food']",156,1,4,NV
2zo1Gg_ERRjn5LzX9hzR5w,Clockwork Pizza,"7520 S Rural Rd, Ste A9",Sandwiches,Restaurants,Sandwiches,"['Restaurants', 'Sandwiches', 'Salad', 'Pizza']",173,1,4,AZ
33Tr0eRki1Yamzleu4GMdw,Rosallie,6090 S Rainbow Blvd,Bakeries,Bakeries,Specialty Food,"['Bakeries', 'Specialty Food', 'Food', 'Macarons', 'Breakfast & Brunch', 'French', 'Restaurants']",163,2,4.5,NV
3ajqOW9A7VhResA08I7RTg,Hash House A Go Go,1 S Main St,American (New),Restaurants,American (New),"['Restaurants', 'American (New)', 'Breakfast & Brunch']",550,2,3.5,NV
3cHL1r5w2oLYH-veijtweA,Public House,3355 Las Vegas Blvd S,Gastropubs,Restaurants,Gastropubs,"['Restaurants', 'Gastropubs']",556,3,3.5,NV
3FlWR_osNPb8dcqLgHebHw,Mimi's Cafe,1121 S Fort Apache,Breakfast & Brunch,Restaurants,Breakfast & Brunch,"['Restaurants', 'Breakfast & Brunch', 'American (Traditional)', 'French']",185,2,3,NV
3fPIRTnBhd81MixgS9YoMQ,California Pizza Kitchen,"3200 Las Vegas Blvd, Sp 1590",American (New),Restaurants,American (New),"['Restaurants', 'American (New)', 'American (Traditional)', 'Pizza']",150,2,3.5,NV
3GEEy7RP6e4bT4LAiWFMFQ,Pizza Rock,201 N 3rd St,Pizza,Pizza,Restaurants,"['Pizza', 'Restaurants']",1462,2,4,NV
3Gt3xskppi9jZuTrwrhLNg,Stack Restaurant & Bar,"Mirage Hotel & Casino, 3400 Las Vegas Blvd S",Seafood,Seafood,Restaurants,"['Seafood', 'Restaurants', 'American (New)', 'Steakhouses']",687,3,4,NV
3IwCop28R1_L5jMv6AkL8Q,Jalisco Cantina,"3460 E Sunset Rd, Ste D",Mexican,Restaurants,Mexican,"['Restaurants', 'Mexican']",196,2,4,NV
3Jq5LfJ5fmJ5KmuA6VHmzw,Topgolf,4627 Koval Ln,American (New),American (New),Golf,"['American (New)', 'Golf', 'Active Life', 'Restaurants', 'Bars', 'Nightlife']",366,3,3.5,NV
3jV44-5HVwykooxEp4Fssg,Park Cafe,44 N Old Litchfield Rd,American (Traditional),American (Traditional),Restaurants,"['American (Traditional)', 'Restaurants']",152,2,4,AZ
3LWsVfsSmb_Nzbi2YQ-NIA,Delhi Indian Cuisine,4022 S Maryland Pkwy,Halal,Halal,Vegetarian,"['Halal', 'Vegetarian', 'Indian', 'Restaurants', 'Buffets', 'Food Delivery Services', 'Food']",486,2,4,NV
3ma_7W3vZSD2fd6EosN3yQ,Big Ben British Restaurant & Pub,"2000 South Blvd, Ste 150",Sports Bars,Sports Bars,Restaurants,"['Sports Bars', 'Restaurants', 'British', 'Bars', 'Pubs', 'Nightlife']",141,2,3.5,NC
3nf-a84p8LC41_WAIvJPjg,Grimaldi's Pizzeria,"Fashion Show Mall, 3200 Las Vegas Blvd S, Ste 1540",Pizza,Pizza,Restaurants,"['Pizza', 'Restaurants']",228,2,4,NV
3oajqiPFhYQJsHHiVCchEQ,Sushi Wa,"790 Coronado Center Dr, Ste 125",Sushi Bars,Sushi Bars,Japanese,"['Sushi Bars', 'Japanese', 'Restaurants']",295,2,4,NV
3p0SYIaMbJ8j-yeK_do5Qg,Longhorn Hotel & Casino,5288 Boulder Hwy,Hotels,Hotels,Casinos,"['Hotels', 'Casinos', 'Hotels & Travel', 'Arts & Entertainment', 'Event Planning & Services', 'Restaurants']",115,1,3,NV
3rj1qpgFvkRWtAka17mhEQ,Mimi's Cafe,6760 N Durango Dr,Breakfast & Brunch,Breakfast & Brunch,Restaurants,"['Breakfast & Brunch', 'Restaurants', 'Cafes', 'American (Traditional)']",169,2,3,NV
